STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,4/11/15,,,6.6,,,23.3,8.3,12.8
USC00312200,4/12/15,,,0,,,24.4,4.4,7.2
USC00312200,4/13/15,,,0.3,,,22.2,7.2,14.4
USC00312200,4/14/15,,,14.5,,,20,14.4,15.6
USC00312200,4/15/15,,,3.8,,,25.6,14.4,14.4
USC00312200,4/16/15,,,16.5,,,16.1,11.1,11.1
USC00312200,4/17/15,,,4.1,,,21.7,11.1,12.8
USC00312200,4/18/15,,,3,,,22.8,12.2,13.9
USC00312200,4/19/15,,,10.2,,,23.9,13.9,16.1
USC00312200,4/20/15,,,27.7,,,18.3,11.1,11.7
USC00312200,4/21/15,,,4.1,,,24.4,6.1,6.7
USC00312200,4/22/15,,,0,,,18.3,1.7,2.2
USC00312200,4/23/15,,,0.3,,,22.2,1.7,8.3
USC00312200,4/24/15,,,0,,,19.4,0.6,1.1
USC00312200,4/25/15,,,3.8,,,23.9,0.6,10
USC00312200,4/26/15,,,5.6,,,23.3,8.9,12.2
USC00312200,4/27/15,,,0,,,21.7,6.1,7.8
USC00312200,4/28/15,,,0,,,20.6,2.2,2.2
USC00312200,4/29/15,,,0,,,23.3,2.2,9.4
USC00312200,4/30/15,,,0,,,13.9,8.3,8.3
USC00312200,5/1/15,,,2,,,18.9,4.4,5.6
USC00312200,5/2/15,,,0,,,17.8,2.2,2.2
USC00312200,5/3/15,,,0,,,23.3,2.2,5.6
USC00312200,5/4/15,,,0,,,26.1,5.6,7.8
USC00312200,5/5/15,,,0,,,26.7,5.6,10
USC00312200,5/6/15,,,0,,,26.1,9.4,10
USC00312200,5/7/15,,,0,,,27.8,9.4,10
USC00312200,5/8/15,,,0,,,27.2,10,13.3
USC00312200,5/9/15,,,13,,,29.4,13.3,15.6
USC00312200,5/10/15,,,0,,,28.3,12.2,27.2
USC00312200,5/11/15,,,1,,,29.4,15.6,15.6
USC00312200,5/12/15,,,5.6,,,29.4,15.6,16.1
USC00312200,5/13/15,,,0,,,27.2,10.6,11.1
USC00312200,5/14/15,,,0,,,28.9,7.2,7.8
USC00312200,5/15/15,,,0,,,27.2,7.2,16.7
USC00312200,5/16/15,,,0,,,26.7,16.1,21.7
USC00312200,5/17/15,,,0.5,,,28.3,15,22.8
USC00312200,5/18/15,,,0,,,24.4,16.1,16.1
USC00312200,5/19/15,,,0.8,,,28.3,16.1,17.2
USC00312200,5/20/15,,,0,,,28.3,11.7,12.2
USC00312200,5/21/15,,,0.3,,,30,11.7,17.2
USC00312200,5/22/15,,,0,,,25.6,7.2,10.6
USC00312200,5/23/15,,,0,,,25,6.7,7.2
USC00312200,5/24/15,,,0,,,25.6,6.7,20
USC00312200,5/25/15,,,0,,,25.6,12.8,13.9
USC00312200,5/26/15,,,13,,,26.7,13.9,17.8
USC00312200,5/27/15,,,6.6,,,24.4,14.4,15
USC00312200,5/28/15,,,0,,,28.9,15,16.1
USC00312200,5/29/15,,,1,,,26.1,14.4,15
